Table 1.  Summary of Basal Crop Coefficient Curves used for the Idaho Evapotranspiration Calculations																																																														
60	curves	Normalized Cumulative Growing Degree-Day from Planting to Effective Full Cover																			Kcb as a function of Percent Time from Planting or Greenup to Effective Full Cover																	Kcb as a function of percent time from greenup to end of season																								
Curve no.:		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
Curve type: '1=NCGDD: 2=%PL-EC: 3=%PL-EC+daysafter: 4=%PL-Term		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	2	2	1	1	3	3	3	1	1	1	1	1	1	1	3	1	2	1	1	3	3
Percent PL-EC or PL-TM (type 1-2-4)	Percent PL-EC+ days after (type 3)	Spring wheat	Winter Wheat	"Peas, seed"	"Peas, fresh"	Sugar Beets	Potatoes (baking)	Potatoes-processing	Field Corn	Sileage Corn	Sweet Corn	Snap Beans-dry	Snap Beans-fresh	Alfalfa 1st cycle	Alfalfa Int cycle	Alfalfa Last cycle	"Alfalfa, peak"	Lentils	Mint	Grass Hay	Onions	Winegrapes	Melons	Hops	Apples w/GC	Apples no GC	Garlic	Canola	Sunflower/Safflower	Lawn	Pasture Rotated	Pasture Low Manag.	BlueGrass Seed	Alfalfa Seed	Poplar	Wetlands-Large stand	Wetlands-Small Stand	Sagebrush	Cheatgrass	Bunchgrass	Bromegrass	Cottonwood	Willow	Cotton	Peppers	Sorghum	Nuts	Olives	Strawberries	Blueberries	Raspberries	Rice	Soybeans	Millet	Tomatoes	Oranges	Lettuce	Cranberries	Sugarcane	Cabbage	Christmas Trees	Pasture Mid Manag.
-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------
0	0	0.15	0.12	0.12	0.12	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.25	0.25	0.25	0.35	0.15	0.35	0.20	0.15	0.16	0.15	0.10	0.15	0.15	0.15	0.15	0.15	0.15	0.29	0.22	0.15	0.35	0.10	0.20	0.20	0.15	0.05	0.05	0.05	0.15	0.15	0.13	0.13	0.17	0.17	0.46	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.71	0.17	0.17	0.13	0.17	0.79	0.25
10	10	0.15	0.12	0.14	0.14	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.51	0.33	0.29	0.51	0.15	0.51	0.46	0.15	0.18	0.15	0.10	0.20	0.15	0.15	0.15	0.15	0.25	0.35	0.26	0.20	0.50	0.19	0.27	0.33	0.30	0.30	0.20	0.40	0.20	0.15	0.13	0.13	0.17	0.17	0.47	0.15	0.15	0.15	0.15	0.16	0.15	0.15	0.71	0.17	0.17	0.15	0.17	0.79	0.29
20	20	0.20	0.15	0.15	0.15	0.16	0.15	0.15	0.15	0.15	0.15	0.19	0.19	0.73	0.45	0.38	0.73	0.18	0.73	0.68	0.15	0.22	0.17	0.10	0.24	0.18	0.15	0.15	0.15	0.38	0.42	0.32	0.25	0.60	0.27	0.36	0.45	0.35	0.60	0.45	0.70	0.24	0.18	0.13	0.14	0.17	0.17	0.48	0.15	0.15	0.15	0.20	0.19	0.20	0.15	0.71	0.21	0.17	0.15	0.21	0.79	0.36
30	30	0.28	0.20	0.16	0.16	0.17	0.17	0.17	0.17	0.17	0.17	0.23	0.23	0.84	0.80	0.56	0.84	0.25	0.84	0.79	0.24	0.26	0.20	0.12	0.33	0.25	0.24	0.19	0.19	0.48	0.50	0.38	0.36	0.67	0.36	0.45	0.60	0.35	0.60	0.55	0.80	0.33	0.25	0.13	0.17	0.19	0.19	0.48	0.17	0.17	0.17	0.28	0.23	0.28	0.17	0.71	0.33	0.25	0.17	0.33	0.79	0.44
40	40	0.40	0.27	0.20	0.20	0.18	0.23	0.23	0.19	0.19	0.19	0.38	0.38	0.90	0.93	0.79	0.90	0.36	0.90	0.85	0.33	0.37	0.24	0.13	0.44	0.35	0.33	0.29	0.29	0.59	0.59	0.44	0.46	0.73	0.44	0.55	0.74	0.35	0.50	0.55	0.80	0.44	0.35	0.15	0.21	0.25	0.25	0.49	0.23	0.23	0.23	0.40	0.38	0.40	0.23	0.71	0.48	0.33	0.19	0.48	0.79	0.50
50	50	0.50	0.40	0.32	0.32	0.21	0.35	0.35	0.28	0.28	0.28	0.49	0.49	0.98	0.99	0.91	0.98	0.45	0.98	0.93	0.41	0.56	0.31	0.32	0.55	0.44	0.41	0.66	0.56	0.65	0.70	0.53	0.56	0.79	0.53	0.64	0.87	0.33	0.15	0.55	0.77	0.55	0.44	0.18	0.33	0.33	0.33	0.50	0.35	0.35	0.35	0.50	0.49	0.50	0.35	0.71	0.58	0.42	0.28	0.58	0.79	0.61
60	60	0.59	0.72	0.46	0.46	0.40	0.48	0.48	0.42	0.42	0.42	0.60	0.60	1.00	1.00	0.96	1.00	0.53	1.00	0.95	0.52	0.65	0.44	0.55	0.66	0.57	0.52	0.85	0.75	0.70	0.74	0.55	0.64	0.82	0.61	0.73	1.00	0.31	0.10	0.45	0.70	0.66	0.57	0.28	0.50	0.48	0.48	0.51	0.48	0.48	0.48	0.59	0.60	0.59	0.48	0.71	0.67	0.50	0.42	0.67	0.79	0.63
70	70	0.82	0.93	0.63	0.63	0.57	0.62	0.62	0.54	0.54	0.54	0.74	0.74	1.00	0.99	1.00	1.00	0.74	1.00	0.95	0.62	0.65	0.56	0.69	0.77	0.66	0.62	0.95	0.85	0.70	0.77	0.58	0.70	0.83	0.70	0.82	1.17	0.30	0.08	0.30	0.55	0.77	0.66	0.40	0.63	0.64	0.63	0.52	0.62	0.62	0.62	0.82	0.74	0.82	0.62	0.71	0.73	0.58	0.54	0.73	0.79	0.66
